SIIB is 0.250, ESTOI is 0.358
SIIB is 0.330, ESTOI is 0.249
SIIB is 0.295, ESTOI is 0.238
SIIB is 0.351, ESTOI is 0.335
SIIB is 0.469, ESTOI is 0.389
SIIB is 0.369, ESTOI is 0.380
SIIB is 0.454, ESTOI is 0.386
SIIB is 0.359, ESTOI is 0.346
SIIB is 0.435, ESTOI is 0.372
SIIB is 0.313, ESTOI is 0.327
SIIB is 0.433, ESTOI is 0.365
SIIB is 0.363, ESTOI is 0.363
SIIB is 0.161, ESTOI is 0.056
SIIB is 0.410, ESTOI is 0.357
SIIB is 0.397, ESTOI is 0.414
SIIB is 0.319, ESTOI is 0.348
SIIB is 0.394, ESTOI is 0.401
SIIB is 0.359, ESTOI is 0.382
SIIB is 0.395, ESTOI is 0.391
SIIB is 0.330, ESTOI is 0.381
SIIB is 0.479, ESTOI is 0.414
SIIB is 0.248, ESTOI is 0.273
SIIB is 0.425, ESTOI is 0.444
SIIB is 0.360, ESTOI is 0.330
SIIB is 0.389, ESTOI is 0.446
SIIB is 0.471, ESTOI is 0.435
SIIB is 0.436, ESTOI is 0.404
SIIB is 0.407, ESTOI is 0.394
SIIB is 0.369, ESTOI is 0.386
SIIB is 0.429, ESTOI is 0.432
SIIB is 0.453, ESTOI is 0.419
SIIB is 0.432, ESTOI is 0.410
SIIB is 0.377, ESTOI is 0.383
SIIB is 0.471, ESTOI is 0.397
SIIB is 0.444, ESTOI is 0.434
SIIB is 0.468, ESTOI is 0.425
SIIB is 0.416, ESTOI is 0.432
SIIB is 0.444, ESTOI is 0.401
SIIB is 0.398, ESTOI is 0.359
SIIB is 0.452, ESTOI is 0.406
SIIB is 0.396, ESTOI is 0.448
SIIB is 0.443, ESTOI is 0.355
SIIB is 0.403, ESTOI is 0.397
SIIB is 0.379, ESTOI is 0.389
SIIB is 0.429, ESTOI is 0.427
SIIB is 0.402, ESTOI is 0.370
SIIB is 0.397, ESTOI is 0.448
SIIB is 0.480, ESTOI is 0.404
SIIB is 0.405, ESTOI is 0.417
SIIB is 0.430, ESTOI is 0.432
SIIB is 0.432, ESTOI is 0.415
SIIB is 0.441, ESTOI is 0.429
SIIB is 0.443, ESTOI is 0.418
SIIB is 0.427, ESTOI is 0.439
SIIB is 0.442, ESTOI is 0.421
SIIB is 0.442, ESTOI is 0.423
SIIB is 0.471, ESTOI is 0.420
SIIB is 0.436, ESTOI is 0.417
SIIB is 0.457, ESTOI is 0.425
SIIB is 0.394, ESTOI is 0.413
SIIB is 0.431, ESTOI is 0.419
SIIB is 0.435, ESTOI is 0.418
SIIB is 0.512, ESTOI is 0.373
SIIB is 0.421, ESTOI is 0.410
SIIB is 0.418, ESTOI is 0.407
SIIB is 0.431, ESTOI is 0.401
SIIB is 0.454, ESTOI is 0.415
SIIB is 0.414, ESTOI is 0.400
SIIB is 0.460, ESTOI is 0.397
SIIB is 0.388, ESTOI is 0.400
SIIB is 0.459, ESTOI is 0.441
SIIB is 0.414, ESTOI is 0.432
SIIB is 0.390, ESTOI is 0.403
SIIB is 0.398, ESTOI is 0.424
SIIB is 0.441, ESTOI is 0.438
SIIB is 0.437, ESTOI is 0.428
SIIB is 0.400, ESTOI is 0.400
SIIB is 0.429, ESTOI is 0.406
SIIB is 0.408, ESTOI is 0.398
SIIB is 0.449, ESTOI is 0.410
SIIB is 0.433, ESTOI is 0.414
SIIB is 0.416, ESTOI is 0.397
SIIB is 0.412, ESTOI is 0.408
SIIB is 0.404, ESTOI is 0.405
SIIB is 0.413, ESTOI is 0.369
SIIB is 0.420, ESTOI is 0.391
SIIB is 0.405, ESTOI is 0.416
SIIB is 0.433, ESTOI is 0.407
SIIB is 0.434, ESTOI is 0.405
SIIB is 0.436, ESTOI is 0.383
SIIB is 0.415, ESTOI is 0.400
SIIB is 0.436, ESTOI is 0.362
SIIB is 0.405, ESTOI is 0.375
SIIB is 0.391, ESTOI is 0.427
SIIB is 0.390, ESTOI is 0.417
SIIB is 0.448, ESTOI is 0.440
SIIB is 0.434, ESTOI is 0.418
